Order Date Time,Product Name,Customer Name,Quantity,Region
3/28/2022 4:20,Ultrasound System,Steve Nursing Home,25,EMEA
1/14/2023 5:22,Azurion System,Inova Emergency Care,54,APAC
10/2/2022 20:09,Anesthesia Machine,Metro Hospital Center,25,EMEA
4/2/2022 14:52,Lumify Transducer,North General Hospital,73,APAC
4/16/2022 20:38,Azurion System,SLR Hospital Center,49,AMER
12/17/2022 15:56,MRI Scanner,Shawn Sons Hospital,29,AMER
5/18/2022 6:44,Ultrasound System,North General Hospital,4,EMEA
5/2/2022 9:36,Anesthesia Machine,Steve Nursing Home,34,EMEA
11/1/2022 5:30,Azurion System,Inova Emergency Care,95,EMEA
3/5/2023 15:17,Lumify Transducer,Franco-USAese Hospital,41,APAC
7/24/2022 22:34,Lumify Transducer,Kaiser Permanente,97,AMER
4/14/2022 15:24,CT Scanner,Inova Emergency Care,16,AMER
2/20/2023 7:15,Lumify Transducer,SLR Hospital Center,6,APAC
3/13/2023 7:21,MRI Scanner,Johns Hopkins Medicine,89,EMEA
8/17/2022 11:11,CT Scanner,Fortis Healthcare,68,APAC
8/20/2022 0:25,Lumify Transducer,Mount Sinai Hospital,67,EMEA
4/12/2022 19:41,MRI Scanner,Johns Hopkins Medicine,37,EMEA
10/7/2022 17:41,Azurion System,Franco-USAese Hospital,92,APAC
3/16/2022 14:01,Respiro Respirator,Richards Care,47,APAC
9/6/2022 15:26,Anesthesia Machine,Baylor Scott Health,80,EMEA
7/13/2022 9:50,Anesthesia Machine,Franco-USAese Hospital,68,EMEA
3/26/2022 0:17,Lumify Transducer,Fortis Healthcare,55,APAC
8/2/2022 6:00,Anesthesia Machine,Kaiser Permanente,26,EMEA
6/6/2022 15:22,Lumify Transducer,North General Hospital,40,APAC
7/28/2022 5:29,CT Scanner,Baylor Scott Health,78,EMEA
1/12/2023 6:30,Ultrasound System,Richards Care,23,APAC
3/25/2022 2:01,CT Scanner,North General Hospital,76,APAC
11/27/2022 3:28,Respiro Respirator,North General Hospital,87,EMEA
11/29/2022 3:37,Azurion System,Franco-USAese Hospital,75,APAC
6/7/2022 21:15,MRI Scanner,Franco-USAese Hospital,98,AMER
6/26/2022 0:51,Ultrasound System,Inova Emergency Care,94,AMER
1/7/2023 16:49,Azurion System,SLR Hospital Center,6,AMER
6/25/2022 11:19,Ultrasound System,Fortis Healthcare,30,EMEA
10/22/2022 4:40,Respiro Respirator,Cleveland Clinic,71,AMER
1/27/2023 14:55,MRI Scanner,Johns Hopkins Medicine,48,AMER
7/9/2022 17:03,Lumify Transducer,Metro Hospital Center,81,AMER
8/28/2022 17:02,Anesthesia Machine,Inova Emergency Care,35,AMER
10/30/2022 23:19,Anesthesia Machine,Richards Care,59,AMER
2/6/2023 2:09,Anesthesia Machine,Paul Diagnostics,61,AMER
9/11/2022 21:52,MRI Scanner,Mayo Clinic,66,AMER
1/25/2023 17:44,Respiro Respirator,Richards Care,19,EMEA
8/4/2022 2:19,Lumify Transducer,Cleveland Clinic,94,EMEA
8/14/2022 17:57,Anesthesia Machine,SLR Hospital Center,11,AMER
6/3/2022 16:13,Anesthesia Machine,California Medical Center,31,AMER
9/28/2022 19:07,Anesthesia Machine,Fortis Healthcare,89,APAC
2/15/2023 19:56,Respiro Respirator,Kaiser Permanente,31,APAC
2/21/2023 5:44,Anesthesia Machine,Inova Emergency Care,20,AMER
6/4/2022 6:08,CT Scanner,SLR Hospital Center,48,AMER
10/29/2022 21:01,Lumify Transducer,Franco-USAese Hospital,67,AMER
5/23/2022 11:45,Azurion System,Franco-USAese Hospital,68,AMER
3/2/2023 19:08,Azurion System,Mayo Clinic,37,AMER
9/30/2022 20:33,Lumify Transducer,Paul Diagnostics,22,EMEA
5/21/2022 0:56,Azurion System,Massachusetts Hospital,87,AMER
5/21/2022 1:58,Ultrasound System,California Medical Center,3,APAC
6/7/2022 16:04,Lumify Transducer,Baylor Scott Health,21,AMER
7/31/2022 14:33,Lumify Transducer,Johns Hopkins Medicine,60,EMEA
5/11/2022 3:14,Anesthesia Machine,Metro Hospital Center,87,APAC
7/27/2022 19:10,MRI Scanner,Fortis Healthcare,58,AMER
12/14/2022 19:42,CT Scanner,Jude Medical Center,2,APAC
4/28/2022 2:45,Ultrasound System,Steve Nursing Home,72,AMER
8/6/2022 11:26,Azurion System,Mayo Clinic,23,EMEA
3/14/2023 9:05,Azurion System,Alexandria Hospital,77,EMEA
10/26/2022 23:44,Respiro Respirator,Alexandria Hospital,16,APAC
5/15/2022 19:02,Anesthesia Machine,Johns Hopkins Medicine,28,AMER
4/7/2022 0:05,Respiro Respirator,North General Hospital,56,APAC
7/3/2022 14:23,CT Scanner,Metro Hospital Center,83,EMEA
2/8/2023 7:24,Azurion System,Jude Medical Center,78,AMER
12/19/2022 14:50,Respiro Respirator,SLR Hospital Center,51,AMER
5/13/2022 5:12,Anesthesia Machine,Cleveland Clinic,23,APAC
8/14/2022 20:31,Anesthesia Machine,Mount Sinai Hospital,34,APAC
8/26/2022 19:09,Ultrasound System,North General Hospital,86,APAC
12/30/2022 20:17,Anesthesia Machine,Mount Sinai Hospital,95,AMER
6/22/2022 11:28,Lumify Transducer,Franco-USAese Hospital,9,APAC
9/22/2022 21:51,Anesthesia Machine,Shawn Sons Hospital,9,EMEA
7/28/2022 19:51,Anesthesia Machine,Mount Sinai Hospital,10,EMEA
10/19/2022 1:43,Respiro Respirator,Jude Medical Center,54,EMEA
12/16/2022 7:53,Respiro Respirator,Fortis Healthcare,55,EMEA
3/6/2023 2:38,Respiro Respirator,California Medical Center,24,AMER
11/18/2022 9:03,MRI Scanner,Fortis Healthcare,53,APAC
2/3/2023 2:04,Respiro Respirator,Jude Medical Center,98,APAC
1/14/2023 4:41,Respiro Respirator,Massachusetts Hospital,26,AMER
10/11/2022 2:52,CT Scanner,Cleveland Clinic,50,APAC
8/27/2022 0:11,Ultrasound System,Mayo Clinic,84,EMEA
4/16/2022 23:34,MRI Scanner,Alexandria Hospital,81,EMEA
3/21/2022 19:46,Lumify Transducer,Richards Care,16,AMER
2/14/2023 1:02,Ultrasound System,Cleveland Clinic,67,EMEA
5/9/2022 2:03,Lumify Transducer,Franco-USAese Hospital,1,EMEA
10/22/2022 1:45,Azurion System,Mount Sinai Hospital,58,EMEA
3/31/2022 2:20,Ultrasound System,North General Hospital,54,AMER
11/12/2022 16:42,Respiro Respirator,Richards Care,64,EMEA
9/1/2022 14:33,Ultrasound System,Metro Hospital Center,3,AMER
6/7/2022 11:05,Anesthesia Machine,UCLA Medical Center,25,AMER
8/9/2022 15:50,Azurion System,Inova Emergency Care,6,EMEA
7/2/2022 23:51,Azurion System,Shawn Sons Hospital,62,EMEA
5/26/2022 15:12,Ultrasound System,Johns Hopkins Medicine,89,EMEA
4/19/2022 12:55,Respiro Respirator,Metro Hospital Center,66,APAC
6/23/2022 21:00,Ultrasound System,UCLA Medical Center,90,APAC
1/31/2023 23:02,Respiro Respirator,California Medical Center,75,AMER
3/27/2022 9:26,Lumify Transducer,Shawn Sons Hospital,56,AMER
11/14/2022 18:50,Lumify Transducer,California Medical Center,3,AMER
9/18/2022 13:46,Respiro Respirator,Jude Medical Center,27,APAC
11/22/2022 19:17,Lumify Transducer,Massachusetts Hospital,48,APAC
6/8/2022 22:27,CT Scanner,Baylor Scott Health,71,AMER
1/7/2023 7:42,Anesthesia Machine,North General Hospital,52,APAC
4/6/2022 23:13,Anesthesia Machine,Shawn Sons Hospital,68,EMEA
5/7/2022 4:04,MRI Scanner,SLR Hospital Center,79,AMER
1/1/2023 15:35,MRI Scanner,Mayo Clinic,1,APAC
5/11/2022 8:02,Ultrasound System,Shawn Sons Hospital,32,APAC
9/11/2022 4:00,Azurion System,Steve Nursing Home,50,AMER
1/25/2023 7:53,CT Scanner,UCLA Medical Center,16,AMER
10/28/2022 14:28,Respiro Respirator,SLR Hospital Center,31,AMER
1/12/2023 15:34,Lumify Transducer,SLR Hospital Center,81,EMEA
6/23/2022 23:29,MRI Scanner,Alexandria Hospital,72,AMER
9/4/2022 1:58,CT Scanner,Cleveland Clinic,49,AMER
3/13/2023 17:02,CT Scanner,Steve Nursing Home,2,AMER
11/4/2022 19:37,Azurion System,Jude Medical Center,11,APAC
11/14/2022 12:53,Anesthesia Machine,Paul Diagnostics,48,AMER
6/1/2022 3:19,Respiro Respirator,North General Hospital,51,AMER
5/19/2022 0:04,Ultrasound System,Fortis Healthcare,64,EMEA
7/10/2022 11:44,CT Scanner,Alexandria Hospital,78,AMER
4/14/2022 3:27,Azurion System,Franco-USAese Hospital,93,AMER
11/27/2022 20:14,Lumify Transducer,Massachusetts Hospital,17,APAC
10/25/2022 21:40,Azurion System,Steve Nursing Home,50,EMEA
10/31/2022 10:57,Ultrasound System,Cleveland Clinic,100,EMEA
6/11/2022 11:45,Lumify Transducer,California Medical Center,69,AMER
1/22/2023 15:41,Lumify Transducer,Steve Nursing Home,47,EMEA
6/24/2022 19:55,Lumify Transducer,Jude Medical Center,92,EMEA
3/23/2022 20:39,Anesthesia Machine,Shawn Sons Hospital,92,APAC
9/12/2022 21:53,MRI Scanner,SLR Hospital Center,12,APAC
11/25/2022 2:18,CT Scanner,Kaiser Permanente,18,AMER
8/22/2022 18:07,Ultrasound System,Paul Diagnostics,62,AMER
9/9/2022 19:09,Lumify Transducer,Baylor Scott Health,33,AMER
5/19/2022 8:52,Ultrasound System,UCLA Medical Center,28,AMER
8/29/2022 23:20,Azurion System,Baylor Scott Health,84,EMEA
5/19/2022 16:29,MRI Scanner,Fortis Healthcare,64,EMEA
1/6/2023 6:00,Ultrasound System,Richards Care,1,AMER
9/22/2022 1:08,Lumify Transducer,Alexandria Hospital,68,AMER
12/27/2022 2:27,Azurion System,Steve Nursing Home,39,APAC
3/14/2023 11:31,CT Scanner,Richards Care,25,AMER
2/8/2023 13:26,Respiro Respirator,UCLA Medical Center,32,APAC
9/24/2022 16:20,Azurion System,Baylor Scott Health,98,EMEA
8/27/2022 23:39,MRI Scanner,Alexandria Hospital,64,APAC
6/26/2022 12:10,MRI Scanner,Baylor Scott Health,10,APAC
11/9/2022 13:06,Ultrasound System,Inova Emergency Care,65,EMEA
12/23/2022 0:52,Respiro Respirator,Kaiser Permanente,52,EMEA
3/9/2023 6:22,CT Scanner,Fortis Healthcare,62,AMER
7/3/2022 17:38,Lumify Transducer,SLR Hospital Center,4,AMER
6/20/2022 20:18,Anesthesia Machine,Richards Care,30,APAC
10/19/2022 2:03,Anesthesia Machine,Kaiser Permanente,7,APAC
5/12/2022 22:02,Anesthesia Machine,California Medical Center,32,AMER
2/16/2023 5:28,Azurion System,Mount Sinai Hospital,93,EMEA
10/11/2022 17:58,CT Scanner,Mount Sinai Hospital,53,APAC
3/25/2022 12:43,Respiro Respirator,Johns Hopkins Medicine,39,AMER
8/13/2022 11:09,Azurion System,Jude Medical Center,84,EMEA
10/5/2022 21:25,Anesthesia Machine,Cleveland Clinic,84,EMEA
1/27/2023 19:15,Lumify Transducer,Jude Medical Center,35,AMER
8/6/2022 3:44,Azurion System,Mount Sinai Hospital,61,AMER
2/6/2023 20:36,MRI Scanner,Alexandria Hospital,82,EMEA
2/14/2023 1:53,Anesthesia Machine,UCLA Medical Center,95,AMER
8/18/2022 4:51,Lumify Transducer,Alexandria Hospital,76,AMER
8/2/2022 23:40,Azurion System,Baylor Scott Health,67,EMEA
2/10/2023 12:52,Lumify Transducer,Paul Diagnostics,50,AMER
3/17/2022 11:23,CT Scanner,UCLA Medical Center,67,EMEA
4/9/2022 1:49,Ultrasound System,Johns Hopkins Medicine,53,APAC
10/5/2022 0:22,Lumify Transducer,SLR Hospital Center,53,APAC
9/18/2022 12:48,Lumify Transducer,Shawn Sons Hospital,26,AMER
4/18/2022 12:28,MRI Scanner,California Medical Center,30,AMER
4/26/2022 9:10,Respiro Respirator,Johns Hopkins Medicine,35,APAC
11/7/2022 2:18,Azurion System,Richards Care,41,APAC
4/29/2022 20:32,Lumify Transducer,Baylor Scott Health,35,AMER
7/3/2022 1:41,MRI Scanner,Metro Hospital Center,26,AMER
11/2/2022 23:26,Azurion System,Paul Diagnostics,12,AMER
9/30/2022 19:30,Respiro Respirator,North General Hospital,41,AMER
4/27/2022 21:52,Anesthesia Machine,Franco-USAese Hospital,55,APAC
8/17/2022 3:38,CT Scanner,Mayo Clinic,70,APAC
3/12/2023 4:47,Azurion System,Alexandria Hospital,79,EMEA
6/30/2022 11:16,Ultrasound System,UCLA Medical Center,58,EMEA
12/12/2022 4:09,CT Scanner,Steve Nursing Home,52,EMEA
5/29/2022 13:14,MRI Scanner,Inova Emergency Care,89,EMEA
1/3/2023 7:09,MRI Scanner,Mount Sinai Hospital,96,APAC
9/11/2022 12:52,Respiro Respirator,Johns Hopkins Medicine,20,EMEA
1/16/2023 19:28,MRI Scanner,UCLA Medical Center,40,EMEA
6/30/2022 0:19,MRI Scanner,Mayo Clinic,59,APAC
11/10/2022 6:38,Lumify Transducer,California Medical Center,31,APAC
10/15/2022 10:08,Respiro Respirator,North General Hospital,5,APAC
7/12/2022 6:33,Anesthesia Machine,Jude Medical Center,98,AMER
4/28/2022 10:23,Respiro Respirator,Kaiser Permanente,100,AMER
4/20/2022 11:12,Respiro Respirator,Cleveland Clinic,4,EMEA
3/28/2022 19:38,Lumify Transducer,Massachusetts Hospital,56,EMEA
9/8/2022 0:31,CT Scanner,Fortis Healthcare,85,AMER
7/12/2022 13:23,CT Scanner,Mount Sinai Hospital,89,EMEA
1/31/2023 8:17,Anesthesia Machine,California Medical Center,60,AMER
2/9/2023 13:38,Azurion System,SLR Hospital Center,86,APAC
11/4/2022 2:22,Anesthesia Machine,Baylor Scott Health,8,AMER
9/20/2022 4:00,Lumify Transducer,Fortis Healthcare,19,EMEA
9/5/2022 12:09,Respiro Respirator,Kaiser Permanente,98,EMEA
1/30/2023 16:13,Anesthesia Machine,Franco-USAese Hospital,48,EMEA
1/29/2023 8:06,MRI Scanner,Richards Care,78,APAC
4/27/2022 14:27,Anesthesia Machine,Shawn Sons Hospital,15,APAC
7/29/2022 5:21,Ultrasound System,Fortis Healthcare,25,EMEA
3/20/2022 18:55,Respiro Respirator,Shawn Sons Hospital,72,EMEA
5/29/2022 22:43,Respiro Respirator,Johns Hopkins Medicine,68,AMER
4/12/2022 6:11,CT Scanner,Shawn Sons Hospital,23,APAC
6/13/2022 1:12,Lumify Transducer,Inova Emergency Care,94,AMER
1/18/2023 9:52,MRI Scanner,Paul Diagnostics,65,EMEA
7/15/2022 14:06,Ultrasound System,California Medical Center,40,EMEA
7/8/2022 12:08,Ultrasound System,Jude Medical Center,15,AMER
6/20/2022 3:41,Anesthesia Machine,Inova Emergency Care,23,EMEA
8/28/2022 5:55,CT Scanner,Paul Diagnostics,47,APAC
8/1/2022 22:19,CT Scanner,Kaiser Permanente,52,APAC
6/4/2022 9:30,Respiro Respirator,Richards Care,75,EMEA
2/25/2023 13:42,MRI Scanner,Cleveland Clinic,98,AMER
2/21/2023 19:42,MRI Scanner,Cleveland Clinic,49,APAC
7/12/2022 0:54,Ultrasound System,Franco-USAese Hospital,81,APAC
2/4/2023 19:44,Azurion System,North General Hospital,84,EMEA
3/27/2022 8:36,MRI Scanner,Metro Hospital Center,43,EMEA
9/21/2022 5:18,Ultrasound System,Franco-USAese Hospital,82,APAC
5/25/2022 20:28,CT Scanner,Shawn Sons Hospital,35,AMER
8/15/2022 17:09,Azurion System,North General Hospital,83,APAC
12/30/2022 21:04,MRI Scanner,SLR Hospital Center,5,AMER
5/10/2022 15:23,Azurion System,Inova Emergency Care,42,EMEA
12/14/2022 17:34,Ultrasound System,Franco-USAese Hospital,98,EMEA
5/31/2022 10:21,CT Scanner,North General Hospital,70,AMER
2/16/2023 14:41,Ultrasound System,Richards Care,68,AMER
7/31/2022 4:41,Respiro Respirator,Jude Medical Center,61,EMEA
5/7/2022 14:56,CT Scanner,Cleveland Clinic,7,AMER
7/28/2022 20:55,Ultrasound System,SLR Hospital Center,71,EMEA
6/20/2022 14:00,Anesthesia Machine,Baylor Scott Health,6,EMEA
12/14/2022 7:01,Azurion System,Shawn Sons Hospital,95,APAC
2/2/2023 12:21,Lumify Transducer,Jude Medical Center,20,APAC
3/16/2022 3:43,MRI Scanner,California Medical Center,76,APAC
6/17/2022 0:20,MRI Scanner,Mount Sinai Hospital,75,AMER
9/1/2022 4:38,MRI Scanner,Alexandria Hospital,39,EMEA
2/28/2023 4:40,Lumify Transducer,Cleveland Clinic,49,APAC
6/21/2022 5:32,Anesthesia Machine,Paul Diagnostics,93,APAC
1/14/2023 16:04,CT Scanner,Johns Hopkins Medicine,83,AMER
8/16/2022 4:37,Lumify Transducer,Johns Hopkins Medicine,55,APAC
12/8/2022 4:23,Anesthesia Machine,Metro Hospital Center,89,EMEA
11/3/2022 22:32,CT Scanner,Mayo Clinic,80,EMEA
5/7/2022 21:01,MRI Scanner,Metro Hospital Center,91,EMEA
7/19/2022 10:35,Anesthesia Machine,North General Hospital,49,EMEA
8/1/2022 17:19,Respiro Respirator,North General Hospital,50,AMER
11/3/2022 1:58,Lumify Transducer,Jude Medical Center,6,EMEA
1/14/2023 13:33,CT Scanner,UCLA Medical Center,84,APAC
8/3/2022 9:14,Anesthesia Machine,Inova Emergency Care,16,AMER
7/19/2022 17:23,Azurion System,Jude Medical Center,94,APAC
4/21/2022 3:36,MRI Scanner,Jude Medical Center,75,EMEA
3/1/2023 0:17,CT Scanner,Franco-USAese Hospital,69,APAC
6/2/2022 13:36,CT Scanner,Mayo Clinic,22,APAC
9/17/2022 23:19,Respiro Respirator,California Medical Center,50,APAC
5/11/2022 2:18,Lumify Transducer,Alexandria Hospital,92,APAC
8/15/2022 12:22,CT Scanner,Paul Diagnostics,19,APAC
4/13/2022 19:28,CT Scanner,California Medical Center,1,AMER
4/7/2022 3:25,MRI Scanner,North General Hospital,88,APAC
3/14/2023 5:00,Anesthesia Machine,SLR Hospital Center,74,APAC
4/19/2022 7:59,Respiro Respirator,Johns Hopkins Medicine,35,APAC
9/26/2022 23:25,MRI Scanner,Inova Emergency Care,60,APAC
9/2/2022 6:03,MRI Scanner,Jude Medical Center,93,AMER
5/30/2022 5:08,CT Scanner,North General Hospital,55,APAC
6/5/2022 17:36,Respiro Respirator,Jude Medical Center,96,EMEA
7/17/2022 13:00,Respiro Respirator,North General Hospital,47,AMER
1/16/2023 13:13,Anesthesia Machine,UCLA Medical Center,85,EMEA
2/2/2023 23:08,Respiro Respirator,Franco-USAese Hospital,26,EMEA
6/25/2022 12:44,CT Scanner,Jude Medical Center,42,APAC
4/3/2022 11:17,MRI Scanner,North General Hospital,21,AMER
2/20/2023 2:18,Ultrasound System,Steve Nursing Home,36,AMER
12/14/2022 19:33,MRI Scanner,Jude Medical Center,27,EMEA
4/14/2022 5:29,MRI Scanner,Mayo Clinic,35,EMEA
8/27/2022 18:56,Azurion System,SLR Hospital Center,79,APAC
10/18/2022 5:58,MRI Scanner,North General Hospital,82,APAC
3/6/2023 0:17,MRI Scanner,Franco-USAese Hospital,63,EMEA
12/27/2022 20:11,Ultrasound System,Mayo Clinic,62,APAC
3/23/2022 21:26,Respiro Respirator,Massachusetts Hospital,15,AMER
3/13/2023 9:51,Ultrasound System,Johns Hopkins Medicine,86,APAC
8/12/2022 1:50,Anesthesia Machine,Franco-USAese Hospital,91,EMEA
3/19/2022 11:58,CT Scanner,Steve Nursing Home,38,APAC
12/25/2022 9:19,Ultrasound System,UCLA Medical Center,66,APAC
3/8/2023 8:15,Anesthesia Machine,Massachusetts Hospital,35,AMER
5/3/2022 2:54,Azurion System,Jude Medical Center,32,EMEA
2/2/2023 13:29,Lumify Transducer,Paul Diagnostics,94,APAC
6/10/2022 13:08,Ultrasound System,Inova Emergency Care,21,APAC
11/25/2022 21:53,CT Scanner,Inova Emergency Care,8,AMER
3/8/2023 13:27,MRI Scanner,Steve Nursing Home,32,AMER
7/4/2022 22:41,Ultrasound System,Kaiser Permanente,74,EMEA
11/3/2022 19:24,CT Scanner,Inova Emergency Care,67,APAC
6/19/2022 9:13,Azurion System,North General Hospital,44,AMER
6/16/2022 23:49,Respiro Respirator,SLR Hospital Center,61,EMEA
